id,query,ground_truth_short,ground_truth_full,relevant_id,difficulty,answer_type,,,,,,,,,,
486,خپلو وادی اور ہوشے وادی کا باہمی تعلق کیا ہے؟,خپلو ہوشے وادی کا دروازہ ہے۔,"خپلو وادی ہوشے وادی کا دروازہ ہے جبکہ ہوشے وادی بلند چوٹیوں، گلیشیئرز اور ٹریکنگ راستوں تک رسائی فراہم کرتی ہے۔","97,99",hard,multi-source,,,,,,,,,,
487,چقچن مسجد اور ضلع گانچھے کے تاریخی ورثے کا آپس میں کیا تعلق ہے؟,چقچن مسجد ضلع گانچھے کے نمایاں تاریخی مقامات میں شامل ہے۔,ضلع گانچھے کے تاریخی ورثے میں خپلو محل اور چقچن مسجد شامل ہیں جبکہ چقچن مسجد خطے کی قدیم ترین مساجد میں شمار ہوتی ہے۔,"86,95",hard,multi-source,,,,,,,,,,
488,بلتیت قلعہ کس شاہی خاندان کا مسکن رہا اور اس کی حکومت کا نظام کیا تھا؟,"عیاشکتز خاندان کا مسکن، موروثی بادشاہ میر تھم حکمران تھے",بلتیت قلعہ 700 سال تک ہنزہ کے شاہی خاندان عیاشکتز کا گھر رہا جس پر موروثی بادشاہ میر تھم حکومت کرتے تھے اور ہنزہ ایک آزاد ریاست کنجوت کے نام سے جانی جاتی تھی,"32,33",hard,multi-source,,,,,,,,,,
489,"بلتیت قلعہ نے ہنزہ کی شاہی تاریخ، گریٹ گیم اور موجودہ ثقافتی حیثیت کے مختلف ادوار کی نمائندگی کیسے کی ہے؟",روسی اثر روکنے کے لیے 1891 میں برطانوی حملہ ہوا اور قلعہ پر قبضہ ہو گیا,19ویں صدی میں بلتیت قلعہ گریٹ گیم کا حصہ بنا جب 1891 میں برطانوی فوجیوں نے روسی اثر و رسوخ کو روکنے کے لیے ہنزہ پر حملہ کیا اور قلعہ پر قبضہ کر لیا,"33,34",hard,multi-source,,,,,,,,,,
490,بلتیت قلعہ کی بحالی میں کس ادارے نے کردار ادا کیا اور اب اس کی عالمی حیثیت کیا ہے؟,آغا خان ٹرسٹ نے بحالی کی اور 2004 سے یونیسکو عالمی ورثہ فہرست میں شامل ہے,آغا خان ٹرسٹ فار کلچر نے بلتیت قلعہ کی تزئین و آرائش کی اور یہ قلعہ 2004 سے یونیسکو کے عالمی ثقافتی ورثے کی فہرست میں شامل ہے,"34,35",hard,multi-source,,,,,,,,,,
491,سوست کی جغرافیائی پوزیشن اسے پاکستان اور چین کے درمیان تجارت میں کیوں مرکزی حیثیت دیتی ہے؟,قراقرم ہائی وے پر آخری پاکستانی قصبہ ہے اور پہلی ڈرائی پورٹ یہاں واقع ہے,سوست قراقرم ہائی وے پر آخری پاکستانی قصبہ ہے جو خنجراب پاس سے پہلے واقع ہے اور یہاں پاکستان کی پہلی ڈرائی پورٹ واقع ہے جہاں سے پاک چین سرحد عبور کرنے والی تمام ٹریفک گزرتی ہے,"22,23",hard,multi-source,,,,,,,,,,
492,سوست میں مقامی لوگ کون سی زبانیں بولتے ہیں اور قریبی درے قدیم دور میں کس لیے استعمال ہوتے تھے؟,واخی و بروشسکی ثقافت اور مہمان نوازی؛ قدیم شاہراہ ریشم کے تاریخی راستے,سوست میں سیاح واخی اور بروشسکی زبان بولنے والے مقامی لوگوں کی پرامن اور مہمان نواز ثقافت کا تجربہ کر سکتے ہیں۔ قریب واقع درہ کِلک اور منٹاکا پاس قدیم شاہراہ ریشم کے اہم حصے تھے اور قراقرم ہائی وے سے پہلے کارواں کے روایتی راستوں کے طور پر استعمال ہوتے تھے۔,"24,26",hard,multi-source,,,,,,,,,,
493,درہ خنجراب کا نام اور موسمی صورتحال اس کی سیاحتی رسائی کو کس طرح متاثر کرتی ہے؟,خون کی وادی کا مطلب مشکل خطوں کی عکاسی کرتا ہے اور سردیوں میں بند رہتا ہے,خنجراب نام وخی زبان سے خون کی وادی کا مطلب رکھتا ہے جو اس علاقے کے مشکل خطوں کی عکاسی کرتا ہے اور یہی وجہ ہے کہ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے جس سے سیاحتی رسائی محدود ہو جاتی ہے,"20,21",hard,multi-source,,,,,,,,,,
494,وادی مسگر کی سرحدی پوزیشن اور برطانوی قلعے کی تعمیر میں کیا تاریخی تعلق ہے؟,چین اور افغانستان کی سرحد کے قریب ہونے کی وجہ سے انگریزوں نے نظر رکھنے کے لیے قلعہ بنایا,وادی مسگر چین اور افغانستان کی سرحدوں کے قریب واقع ہے اس لیے انگریزوں نے یہاں کلام درچی قلعہ تعمیر کیا جو روسی اور چینی پیش قدمی پر نظر رکھنے کے لیے بنایا گیا تھا,"28,29",hard,multi-source,,,,,,,,,,
495,منٹاکا پاس اور درہ کِلک قراقرم ہائی وے سے پہلے کس مقصد کے لیے استعمال ہوتے تھے؟,کارواں کے روایتی تجارتی راستے؛ برطانوی دور میں نگرانی کے لیے قلعہ بھی تعمیر,: قراقرم ہائی وے کے قائم ہونے سے پہلے منٹاکا پاس اور درہ کِلک پاکستان اور ہندوستان کو تاشقرغان سے ملانے والے کارواں کے روایتی راستوں کے طور پر استعمال ہوتے تھے۔ اسی دور میں انگریزوں نے وادی مسگر میں کلام درچی قلعہ تعمیر کیا جو روسی اور چینی پیش قدمی پر نظر رکھنے کے لیے بنایا گیا تھا۔,"27,29",hard,multi-source,,,,,,,,,,
496,گوندوقورو پاس میں کوہ پیمائی کے لیے کون کون سے آلات استعمال ہوتے ہیں؟,کریمپنز فکسڈ رسیاں,گوندوقورو پاس میں برفانی چڑھائی کے لیے کریمپنز اور فکسڈ رسیاں استعمال کی جاتی ہیں۔,114,medium,list-recall,,,,,,,,,,
497,فیری میڈوز تک رسائی کا مکمل راستہ کیا ہے اور ٹریکرز کے لیے یہ کیوں اہم ہے؟,"رائیکوٹ پل سے جیپ پھر پانچ کلومیٹر پیدل، نانگا پربت کے رائیکوٹ رخ کا نقطہ آغاز ہے",فیری میڈوز تک رائیکوٹ پل سے ٹاٹو گاؤں تک جیپ کے ذریعے اور پھر تقریباً پانچ کلومیٹر پیدل سفر سے پہنچا جاتا ہے اور یہ نانگا پربت کے رائیکوٹ رخ کی جانب جانے والے ٹریکرز کے لیے نقطہ آغاز ہے,"66,67",hard,multi-source,,,,,,,,,,
498,تھلپن چلاس کے چٹانی نقوش اور مقامی آبادی کا نسلی پس منظر چلاس کی تاریخی اہمیت کو کیسے ثابت کرتے ہیں؟,نو ہزار سالہ نقوش اور کوہستانی داردی نسل کی آبادی قدیم تہذیب کا ثبوت ہے,تھلپن چلاس میں 9 ہزار سال پرانے 50 ہزار سے زائد چٹانی نقوش موجود ہیں اور یہاں کوہستانی اور داردی نسل کے لوگ آباد ہیں جو مل کر چلاس کی قدیم تہذیبی اہمیت کو ثابت کرتے ہیں,"59,60",hard,multi-source,,,,,,,,,,
499,بابوسر پاس کی بلندی اور موسمی خطرات اسے سیاحوں کے لیے کیوں چیلنجنگ بناتے ہیں؟,"4173 میٹر بلند، اکتوبر سے جون بند اور کھڑی چڑھائیاں خطرناک بناتی ہیں",بابوسر پاس 4173 میٹر کی بلندی پر واقع ہے اور شدید برف باری کی وجہ سے اکتوبر سے جون تک بند رہتا ہے جبکہ کھڑی چڑھائیوں کی وجہ سے راستہ نسبتاً خطرناک سمجھا جاتا ہے,"61,64",hard,multi-source,,,,,,,,,,
500,اسکردو کی جغرافیائی پوزیشن اور سیاحتی مقامات اسے گلگت بلتستان کا اہم مرکز کیوں بناتے ہیں؟,دریاؤں کے سنگم پر واقع ہے اور K2 گاشربرم تک رسائی اور متعدد جھیلیں و قلعے موجود ہیں,"اسکردو دریائے سندھ اور شیوک کے سنگم کے قریب واقع ہے اور K2، گاشربرم جیسی چوٹیوں تک رسائی فراہم کرتا ہے جبکہ کھرپوچو قلعہ، سدپارہ، کچورا اور شنگریلا جھیلیں اسے سیاحت کا مرکز بناتی ہیں","36,38",hard,multi-source,,,,,,,,,,
501,دیوسائی نیشنل پارک کا جغرافیائی محل وقوع اور اس کی جنگلی حیات اسے منفرد قدرتی مقام کیوں بناتے ہیں؟,"اسکردو اور استور کے درمیان واقع ہے، ہمالیائی مارموٹ، براؤن بیئر اور شیوسر جھیل موجود ہیں",دیوسائی نیشنل پارک اسکردو اور استور کے درمیان واقع ہے جہاں ہمالیائی مارموٹ اور براؤن بیئر جیسی منفرد جنگلی حیات موجود ہے اور شیوسر جھیل اسے سیاحوں کے لیے اور بھی خاص بناتی ہے,"40,42",hard,multi-source,,,,,,,,,,
502,گوندوقورو پاس کو ایک مشکل ٹریک کیوں سمجھا جاتا ہے؟,کھڑی ڈھلوانیں برفانی خطرات اور تکنیکی چڑھائی کی وجہ سے,"گوندوقورو پاس میں کھڑی برفانی ڈھلوانیں، برفانی تودوں اور پتھروں کے گرنے کا خطرہ اور تکنیکی چڑھائی کی ضرورت اسے ایک مشکل ٹریک بناتی ہیں۔",114,medium,list-recall,,,,,,,,,,
503,گوندوقورو پاس ٹریک کوہ پیماؤں کے لیے کیوں اہم سمجھا جاتا ہے؟,قراقرم کی آٹھ ہزار میٹر بلند چوٹیوں کے شاندار مناظر,"گوندوقورو پاس کونکورڈیا اور ہوشے وادی کو جوڑتا ہے اور یہ کوہ پیماؤں کو بلند پہاڑوں کے شاندار نظارے فراہم کرتا ہے، اس لیے یہ اہم ٹریک ہے۔",114,medium,list-recall,,,,,,,,,,
504,سیاح نانگا پربت کو مقامی طور پر کس نام سے جانتے ہیں اور یہ کتنا بلند ہے؟,دیامر یا دیو میر اور 8126 میٹر,نانگا پربت کو مقامی طور پر دیامر یا دیو میر کہا جاتا ہے اور اس کی بلندی 8126 میٹر ہے۔,"69,70",hard,multi-source,,,,,,,,,,
505,گوندوقورو پاس کی جغرافیائی حیثیت اس کی سیاحتی اہمیت کو کیسے بڑھاتی ہے؟,کے ٹو کے قریب اور دو اہم گلیشیئرز کو جوڑنے کی وجہ سے,"گوندوقورو پاس کے ٹو کے قریب واقع ہے اور دو اہم گلیشیئرز کو آپس میں جوڑتا ہے، جس کی وجہ سے یہ سیاحتی اور کوہ پیمائی کے لیے انتہائی اہم مقام ہے۔",114,medium,list-recall,,,,,,,,,,
506,نانگا پربت کا مقامی نام کیا ہے اور اسے کوہ پیماؤں میں کس وجہ سے جانا جاتا ہے؟,دیامر یا دیو میر اور قاتل پہاڑ,نانگا پربت کو مقامی طور پر دیامر یا دیو میر کہا جاتا ہے جبکہ کوہ پیماؤں میں اسے قاتل پہاڑ کے نام سے جانا جاتا ہے۔,"70,71",hard,multi-source,,,,,,,,,,
507,اسکردو بین الاقوامی سیاحوں کے لیے کیوں موزوں ہے؟,دنیا کی بلند ترین چوٹیوں تک رسائی اور اردو و انگریزی کا رواج,اسکردو K2 اور گاشربرم جیسی چوٹیوں تک رسائی فراہم کرتا ہے جبکہ یہاں اردو اور انگریزی وسیع پیمانے پر بولی اور سمجھی جاتی ہیں جو بین الاقوامی سیاحوں کے لیے سہولت فراہم کرتا ہے,"36,37",hard,multi-source,,,,,,,,,,
508,اسکردو کی ثقافتی شناخت اور سیاحتی مقامات مل کر اسے کیسا تجربہ فراہم کرتے ہیں؟,منفرد بلتی ثقافت اور متنوع قدرتی و تاریخی مقامات,"اسکردو اپنی منفرد بلتی ثقافت اور مہمان نوازی کے ساتھ ساتھ کھرپوچو قلعہ، متعدد جھیلوں اور سرد صحرا جیسے متنوع مقامات کی وجہ سے سیاحوں کو ایک مکمل تجربہ فراہم کرتا ہے","37,38",hard,multi-source,,,,,,,,,,
509,K2 کا نام کب اور کیسے پڑا اور اسے پہلی بار کب سر کیا گیا؟,1856 میں مونٹگومری نے نام دیا اور 1954 میں پہلی بار سر ہوا,K2 کا نام 1856 میں ٹی جی مونٹگومری نے سروے کے دوران دیا اور 31 جولائی 1954 کو اطالوی کوہ پیماؤں نے پہلی مرتبہ اس کی چوٹی سر کی۔,"78,81",hard,multi-source,,,,,,,,,,
510,K2 کو مقامی طور پر کیا کہتے ہیں اور اس تک پہنچنے کا راستہ کہاں سے شروع ہوتا ہے؟,چھوغوری اور اسکردو سے راستہ شروع ہوتا ہے,K2 کا مقامی بلتی نام چھوغوری ہے اور اس کے بیس کیمپ تک پہنچنے کا روایتی راستہ اسکردو سے شروع ہوتا ہے۔,"78,79",hard,multi-source,,,,,,,,,,
511,K2 کی بلندی اور بیس کیمپ تک کا ٹریکنگ راستہ سیاحوں کو کیا تجربہ دیتا ہے؟,8611 میٹر بلند چوٹی اور اسکولے کے بعد پائیو اردوکاس گورو کونکورڈیا سے گزر کر بیس کیمپ تک,K2 کی بلندی 8611 میٹر ہے اور بیس کیمپ تک اسکولے کے بعد پائیو اردوکاس گورو اور کونکورڈیا سے گزرنا پڑتا ہے۔,"77,80",hard,multi-source,,,,,,,,,,
512,خپلو محل کا طرزِ تعمیر کیسا ہے اور ہوشے وادی کس سرگرمی کے لیے مشہور ہے؟,خپلو محل ہمالیائی کشمیری مغلیہ طرزِ تعمیر؛ ہوشے وادی ٹریکنگ اور کوہ پیمائی کا مرکز,"خپلو محل میں ہمالیائی، کشمیری اور مغلیہ طرزِ تعمیر کا خوبصورت امتزاج دیکھا جا سکتا ہے۔ اسی ضلع میں ہوشے وادی ٹریکنگ اور کوہ پیمائی کی سرگرمیوں کا اہم مرکز ہے جہاں سے گوندوغورو پاس کے ذریعے کونکورڈیا اور K2 تک رسائی ممکن ہے۔","96,99",hard,multi-source,,,,,,,,,,
513,چقچن مسجد کب تعمیر ہوئی اور خپلو کس وادی کا دروازہ سمجھا جاتا ہے؟,1370ء کی قدیم مسجد بدھ مت سے اسلام کی علامت؛ خپلو ہوشے وادی کا دروازہ,"چقچن مسجد 1370ء میں تعمیر ہوئی اور اس دور کی یادگار ہے جب اس علاقے کے لوگ بدھ مت سے اسلام میں داخل ہوئے۔ خپلو ہوشے وادی کا دروازہ بھی ہے جو جھیلوں، گلیشیئرز، ٹریکنگ روٹس اور بلند چوٹیوں تک رسائی فراہم کرتا ہے۔","95,97",hard,multi-source,,,,,,,,,,
514,کریم آباد سے کون سی تین چوٹیاں نظر آتی ہیں اور ان کی بلندی کیا ہے؟,"بُبلی موتن 7,400م، الٹر سر 7,500م، راکاپوشی 7,788م","کریم آباد سے تین چوٹیاں نظر آتی ہیں: بُبلی موتن یا لیڈی فنگر پیک (7,400م)، الٹر سر (7,500م)، اور راکاپوشی (7,788م)۔",115,medium,list-recall,,,,,,,,,,
515,راکاپوشی دیکھنے کا بہترین وقت کون سا ہے؟,صبح سویرے,راکاپوشی کو کریم آباد سے جنوب کی سمت منہ کر کے صبح سویرے بہترین طریقے سے دیکھا جا سکتا ہے۔,115,easy,factual,,,,,,,,,,
516,راکاپوشی دیکھنے کے لیے موسم کیسا ہونا چاہیے؟,صاف موسم,راکاپوشی کا واضح نظارہ صرف صاف موسم میں ممکن ہے۔,115,easy,factual,,,,,,,,,,
517,گیال کے ساتھ کون سی چیزیں پیش کی جاتی ہیں؟,"شہد، پھلوں کا جام، خوبانی کا تیل","گیال کو شہد، پھلوں کے جام یا خوبانی کے تیل کے ساتھ کھایا جاتا ہے۔",116,medium,list-recall,,,,,,,,,,
518,گیال کے ساتھ پیش کیے جانے والے خوبانی کے تیل کی کیا خصوصیت ہے؟,مخصوص خوشبو اور ذائقہ,خوبانی کا تیل اپنی مخصوص خوشبو اور ذائقے کی وجہ سے جانا جاتا ہے۔,116,easy,factual,,,,,,,,,,
519,گیال عموماً کس چیز کے ساتھ کھایا جاتا ہے؟,گرم دودھ والی چائے,گیال عموماً گرم دودھ والی چائے کے ساتھ پیش کیا جاتا ہے۔,116,easy,factual,,,,,,,,,,
520,ہنزہ میں روایتی ناشتے میں کیا کھایا جاتا ہے؟,"گیال، شہد، خوبانی کا تیل، دودھ کی چائے","ہنزہ میں روایتی ناشتے میں گیال کھایا جاتا ہے جو گندم کے آٹے سے بنے کیک ہیں، انہیں شہد، پھلوں کے جام یا خوبانی کے تیل کے ساتھ  گرم دودھ کی چائے کے ساتھ پیش کیا جاتا ہے۔",116,medium,list-recall,,,,,,,,,,
521,کریم آباد بازار میں کون سی مقامی کھانے کی اشیاء دستیاب ہیں؟,روایتی ناشتے اور منتو,کریم آباد بازار میں روایتی ناشتے اور مقامی کھانوں کی متعدد اقسام دستیاب ہیں۔ منتو ایک مقبول گوشت بھرا آٹے کا پکوان ہے۔,117,medium,list-recall,,,,,,,,,,
522,ہنزہ کے روایتی ناشتے میں کون سے خشک میوہ اور بیج شامل ہوتے ہیں؟,"بادام، اخروٹ، السی کے بیج اور خوبانی کے بیج","ان میں بادام، اخروٹ، السی کے بیج اور خوبانی کے بیج شامل ہوتے ہیں۔",117,medium,list-recall,,,,,,,,,,
523,ہنزہ کے ناشتے کے مرکب کو اوپر سے کیا ڈال کر پیش کیا جاتا ہے؟,"شہد، دہی یا مقامی کریم",ہنزہ کے ناشتے کے مرکب کو اوپر سے تازہ مقامی کریم یا دہی اور شہد ڈال کر پیش کیا جاتا ہے۔,117,medium,list-recall,,,,,,,,,,
524,وادی ہنزہ کے دور افتادہ پہاڑی علاقے پانی کے قدرتی ماحول پر کیا اثر ڈالتے ہیں؟,قدرتی ماحول کو برقرار رکھنے میں مدد دیتے ہیں۔,وادی ہنزہ کے دور افتادہ پہاڑی علاقے پانی کے قدرتی ماحول کو برقرار رکھنے میں کردار ادا کرتے ہیں۔,118,easy,factual,,,,,,,,,,
525,بعض ذرائع کے مطابق ہنزہ کے پانی کی ایک نمایاں خصوصیت کیا ہے؟,الکلائن خصوصیات,بعض ذرائع کے مطابق ہنزہ کے پانی کو الکلائن خصوصیات کے حامل پانی کے طور پر بیان کیا جاتا ہے۔,118,easy,factual,,,,,,,,,,
526,ہنزہ کے پانی کے اہم ذرائع میں کون سی گلیشیری ندی شامل ہے؟,راکاپوشی کی گلیشیری ندی,راکاپوشی کے علاقے سے بہنے والی گلیشیری ندی ہنزہ کے پانی کے اہم ذرائع میں شمار کی جاتی ہے۔,118,easy,factual,,,,,,,,,,
527,ہنزہ میں سیب کی کون کون سی اقسام کاشت کی جاتی ہیں؟,"میٹھی، کھٹی، کراری، رسیلی","ہنزہ میں سیب کی متعدد اقسام کاشت کی جاتی ہیں جن میں میٹھی، کھٹی، کراری اور رسیلی اقسام شامل ہیں۔",119,medium,list-recall,,,,,,,,,,
528,ہنزہ میں کون کون سے خشک میوہ جات اگائے جاتے ہیں؟,"بادام، اخروٹ، خوبانی، انگور، سفرجل","وادی ہنزہ میں بادام، اخروٹ، خوبانی، انگور اور مقامی قسم کے سفرجل سمیت متعدد پھل اگائے جاتے ہیں۔",120,medium,list-recall,,,,,,,,,,
529,ہنزہ میں خشک میوہ جات کی مقامی قیمتیں نسبتاً مناسب کیوں رہتی ہیں؟,دیگر شہروں تک فروخت اور ترسیل کی وجہ سے,بعض خشک میوہ جات پاکستان کے دیگر شہروں تک پہنچائے جاتے ہیں جس کے باعث مقامی منڈیوں میں ان کی قیمتیں نسبتاً مناسب رہتی ہیں۔,120,easy,factual,,,,,,,,,,
530,عطاء آباد جھیل کیسے وجود میں آئی؟,2010 میں لینڈ سلائیڈ سے,عطاء آباد جھیل 2010 میں ایک بڑے لینڈ سلائیڈ کے نتیجے میں وجود میں آئی۔,121,easy,factual,,,,,,,,,,
531,عطاء آباد جھیل پر سیاحوں کے لیے کیا سرگرمیاں دستیاب ہیں اور کب جایا جا سکتا ہے؟,"کشتی کی سواری، دن کے وقت",دن کے وقت سیاح جھیل کا دورہ کر سکتے ہیں جبکہ کنارے پر مختصر کشتی کی سواریاں بھی دستیاب ہیں۔,121,medium,list-recall,,,,,,,,,,
532,عطاء آباد جھیل کے ارد گرد کا ماحول کیسا ہے؟,"چٹانی پہاڑی مناظر، نیلا پانی",جھیل کے اطراف قراقرم کے بلند اور چٹانی پہاڑی مناظر پائے جاتے ہیں جبکہ نیلا پانی اس کی نمایاں خصوصیات میں شامل ہے۔,121,medium,list-recall,,,,,,,,,,
533,ڈاوڈو میں کون کون سے اجزاء استعمال ہوتے ہیں؟,"گندم کے نوڈلز، مرغی، پیاز، دھنیا، الائچی، زیرہ","ڈاوڈو مقامی گندم کے آٹے سے ہاتھ سے کاٹے گئے نوڈلز، قیمہ مرغی، کٹے پیاز، دھنیے، الائچی اور زیرے سے تیار کیا جاتا ہے۔",122,medium,list-recall,,,,,,,,,,
534,ڈاوڈو کے شوربے کی کیا خصوصیت ہے؟,ہلکے سنہری رنگ کا,ڈاوڈو کا شوربہ ہلکے سنہری رنگ کا ہوتا ہے۔,122,easy,factual,,,,,,,,,,
535,چپشورو روایتی طور پر کس گوشت سے بنایا جاتا ہے اور اس میں کیا مصالحے ڈالے جاتے ہیں؟,"یاک کا گوشت، پیاز، لال مرچ، ٹماٹر، دھنیا","چپشورو روایتی طور پر یاک کے گوشت سے تیار کیا جاتا ہے اور اس میں کٹا پیاز، لال مرچ، چھوٹے مقامی ٹماٹر اور دھنیے کے پتے شامل کیے جاتے ہیں۔",123,medium,list-recall,,,,,,,,,,
536,چپشورو ہنزہ کے کھانوں میں کس حیثیت سے جانا جاتا ہے؟,معروف مقامی پکوان,چپشورو ہنزہ کے معروف مقامی کھانوں میں شمار ہوتا ہے۔,123,easy,factual,,,,,,,,,,
537,بیریکٹز میں کون سی اہم اجزاء استعمال ہوتے ہیں؟,"بکری کے دودھ کا پنیر، آٹا، خوبانی کا تیل","بیریکٹز کی تیاری میں بکری کے دودھ سے بنایا گیا پنیر، آٹا اور خوبانی کا تیل استعمال کیا جاتا ہے۔",124,medium,list-recall,,,,,,,,,,
538,بیریکٹز کس کھانے کی روایت کا حصہ ہے؟,ہنزہ اور بلتی کھانے,بیریکٹز ہنزہ اور بلتی کھانوں کا ایک روایتی پکوان ہے۔,124,easy,factual,,,,,,,,,,
539,پاکستان میں کون سے تین پہاڑی سلسلے آپس میں ملتے ہیں؟,"ہمالیہ، قراقرم، ہندوکش","پاکستان کے شمالی علاقے بلتستان میں دنیا کے تین عظیم ترین پہاڑی سلسلے ہمالیہ، قراقرم اور ہندوکش آپس میں ملتے ہیں۔",125,medium,list-recall,,,,,,,,,,
540,شاہراہ قراقرم کو دنیا کا آٹھواں عجوبہ کیوں کہا جاتا ہے؟,پہاڑی علاقے میں انجینئرنگ کی وجہ سے,دشوار گزار پہاڑی علاقے میں تعمیراتی انجینئرنگ کی وجہ سے شاہراہ قراقرم کو اکثر دنیا کا آٹھواں عجوبہ کہا جاتا ہے۔,126,easy,factual,,,,,,,,,,
541,تاریخی شاہراہ ریشم اور شاہراہ قراقرم کے بارے میں کون سی دو معلومات بیان کی گئی ہیں؟,"ساتھ ساتھ راستے، وادیٔ ہنزہ میں آثار","تاریخی شاہراہ ریشم کے بعض حصے شاہراہ قراقرم کے ساتھ ساتھ دکھائی دیتے ہیں، جبکہ خنجراب کی جانب سفر کے دوران وادیٔ ہنزہ میں اس تاریخی راستے کے آثار بعض مقامات پر دیکھے جا سکتے ہیں۔",126,medium,list-recall,,,,,,,,,,
542,خنجراب کی جانب سفر کرتے ہوئے تاریخی شاہراہ ریشم کے آثار کہاں دیکھے جا سکتے ہیں؟,وادیٔ ہنزہ کے بعض مقامات پر,خنجراب درے کی جانب سفر کے دوران وادیٔ ہنزہ میں تاریخی شاہراہ ریشم کے آثار بعض مقامات پر دیکھے جا سکتے ہیں۔,126,easy,factual,,,,,,,,,,
543,قراقرم کے مختصر سفر کے لیے اسلام آباد سے گلگت پہنچنے کا عام طریقہ کیا ہے؟,پرواز,قراقرم کے مختصر سفر کے لیے عموماً اسلام آباد سے گلگت تک پرواز کر کے وہاں سے مقامی گاڑی حاصل کی جاتی ہے۔,127,easy,factual,,,,,,,,,,
544,قراقرم کے مختصر سفر میں عموماً کن مقامات کا سفر شامل ہوتا ہے؟,"گلگت، کریم آباد، خنجراب","قراقرم کے مختصر سفر میں عموماً گلگت، کریم آباد (ہنزہ) اور خنجراب درے کا سفر شامل ہوتا ہے، جبکہ واپسی ہنزہ یا گلگت کے راستے کی جا سکتی ہے۔",127,medium,list-recall,,,,,,,,,,
545,قراقرم کے علاقے کا مختصر سیاحتی سفر عموماً کتنے دن میں مکمل کیا جا سکتا ہے؟,دو یا تین دن,قراقرم کے علاقے کا مختصر سیاحتی سفر عموماً دو یا تین دن میں مکمل کیا جا سکتا ہے۔,127,easy,factual,,,,,,,,,,
546,عطا آباد جھیل آنے جانے کا طریقہ وقت کے ساتھ کیسے تبدیل ہوا؟,"سڑک، کشتی، سرنگیں","2010 سے پہلے یہاں سڑک موجود تھی، جھیل بننے کے بعد کچھ عرصہ بڑی لکڑی کی کشتیوں کے ذریعے آمدورفت ہوتی رہی، جبکہ بعد میں سرنگوں کی تعمیر سے محفوظ سڑک رسائی دوبارہ ممکن ہو گئی۔",129,medium,list-recall,,,,,,,,,,
547,ایگلز نیسٹ پر غروب آفتاب کا بہترین نظارہ حاصل کرنے کے لیے کب پہنچنا چاہیے؟,غروب آفتاب سے تقریباً 30 منٹ پہلے,ارد گرد کی چوٹیوں کا بہترین نظارہ حاصل کرنے کے لیے ایگلز نیسٹ پر غروب آفتاب سے تقریباً 30 منٹ پہلے پہنچنے کی سفارش کی جاتی ہے۔,128,easy,factual,,,,,,,,,,
548,خنجراب کی بلندی پر سفر کرتے ہوئے کن احتیاطی تدابیر پر عمل کرنا چاہیے؟,"پانی پینا، آہستہ چلنا، خشک میوہ جات","خنجراب درے کی طرف سفر کرتے ہوئے مسافروں کو پانی مناسب مقدار میں پینے، آہستہ چلنے اور خشک میوہ جات استعمال کرنے کا مشورہ دیا جاتا ہے۔",130,medium,list-recall,,,,,,,,,,
549,ایگلز نیسٹ سے کس پہاڑی سلسلے کا وسیع نظارہ کیا جا سکتا ہے؟,سلسلہ کوہ قراقرم,ایگلز نیسٹ سے سلسلہ کوہ قراقرم کا وسیع نظارہ کیا جا سکتا ہے۔,128,easy,factual,,,,,,,,,,
550,سوست میں بغیر گوشت یا سبزیوں کے کھانوں میں کیا کچھ دستیاب ہے؟,"راجما، دال، آلو کا سالن","سوست میں سبزیوں کے پکوانوں میں راجما، پیلی اور کالی دال، اور آلو کا سالن شامل ہے۔",131,medium,list-recall,,,,,,,,,,
551,سوست میں کھانے عموماً کن چیزوں کے ساتھ پیش کیے جاتے ہیں؟,"گرم روٹی، لال پیاز، ہری مرچ",سوست میں کھانے عموماً گرم روٹی کے ساتھ پیش کیے جاتے ہیں اور ان کے ساتھ تازہ لال پیاز اور ہری مرچ بھی دی جاتی ہے۔,131,medium,list-recall,,,,,,,,,,
552,سوست میں کھانے کے لیے کون سے مقامی پکوان ملتے ہیں؟,"راجما، دال، آلو کا سالن","سوست میں مقامی کھانوں میں راجما، پیلی اور کالی دال، اور سبزیوں کے ساتھ تیار کیا گیا آلو کا سالن شامل ہے۔",131,medium,list-recall,,,,,,,,,,
553,خنجراب درے پر جاتے ہوئے سڑک کے حالات کیسے ہوتے ہیں؟,"تیز موڑ، برفیلی سڑک، پولیس چیک پوسٹ","خنجراب درے کی سڑک کے آخری حصے میں تیز موڑ ہیں، سڑک کی سطح برفیلی ہو سکتی ہے اور راستے میں ایک پولیس چیک پوسٹ بھی موجود ہے۔",132,medium,list-recall,,,,,,,,,,
554,عطاء آباد جھیل کے علاقے میں سرنگیں کیوں تعمیر کی گئیں؟,محفوظ سڑک رسائی کے لیے,سرنگیں اس لیے تعمیر کی گئیں تاکہ علاقے میں دوبارہ مسلسل اور محفوظ سڑک رسائی فراہم کی جا سکے۔,129,easy,factual,,,,,,,,,,
